First Name,Last Name,Draft Year,Years of Service
Jerry,Fleishman,0,5
Al,Lucas,0,1
Cam,Reddish,2019,1
Luis,Flores,2004,1
Len,Elmore,0,8
Leandro,Barbosa,2003,13
Derrick,Rowland,0,1
Devin,Robinson,2017,2
Barney,Cable,0,6
Robert,Whaley,2005,1
Gerald,Glass,0,4
Johnny,Simmons,0,1
Charles,Thomas,0,1
Scott,Sims,0,1
Chris,Engler,0,5
David,Pope,0,2
Aaron,James,0,5
Whitey,Skoog,0,6
Bart,Kofoed,0,5
DeJuan,Wheat,1997,2
Raymond,Brown,0,1
Zydrunas,Ilgauskas,1996,13
Scott,Meents,0,2
Dedric,Willoughby,0,0
Othello,Hunter,2008,2
Chandler,Hutchison,2018,2
Justin,Patton,2017,3
Vincent,Poirier,2015,1
Freddie,Lewis,0,2
Jason,Miskiri,0,0
Anthony,Tucker,0,1
Derrick,Dial,1998,4
Carlos,Arroyo,2001,9
Jesse,Arnelle,0,1
Ed,Lawrence,0,1
Billy,Thomas,0,3
Grant,Williams,2019,1
Voshon,Lenard,1994,11
Giannis,Antetokounmpo,2013,6
Hank,Biasatti,0,1
Steve,Stipanovich,0,5
Cory,Higgins,2011,2
Len,Kosmalski,0,2
Orlando,Johnson,2012,2
Stephen,Howard,0,4
Larry,Siegfried,0,9
Darius,Garland,2019,1
Steve,Jones,0,1
Michael,Ansley,0,3
Alize,Johnson,2018,2
Goebel,Ritter,0,3
Patrick,Eddie,0,1
Henry,Walker,2008,5
Rich,Niemann,0,2
Jeff,McInnis,1996,11
Johnny,Norlander,0,5
Rashad,Vaughn,2015,2
Dwayne,Bacon,2017,3
Bob,McCann,1987,5
Grady,Lewis,0,3
Kevin,Johnson,1987,12
Nicolas,Laprovittola,2012,0
Britton,Johnsen,2003,2
Darrell,Brown,0,1
Matt,Freije,2004,2
Thomas,Hamilton,0,2
Phil,Hicks,0,2
Dick,Hemric,0,2
Luc,Longley,1991,10
Mitchell,Anderson,0,3
Damian,Jones,2016,4
Marques,Bragg,0,1
Sheldon,Mac,2016,1
Gus,Bailey,0,5
Art,Heyman,0,3
Rodney,Rogers,1993,12
Antonio,Harvey,0,8
Vincent,Hunter,2015,1
Trey,Lyles,2015,4
Grady,O'Malley,0,1
Rusty,LaRue,0,5
Bob,Hogsett,0,1
Harold,Miner,1992,4
Rich,Jones,0,1
JamesOn,Curry,2007,1
Jeremy,Evans,2010,6
Rick,Calloway,0,1
Phil,Sellers,0,1
Bob,Fitzgerald,0,2
Dick,Dickey,0,1
James Michael,McAdoo,2014,3
Gigi,Datome,2010,2
Wilbert,Kautz,0,1
Carl,Nicks,0,3
Johnathan,Motley,2017,3
Mike,Taylor,2008,1
Billy,Cunningham,0,9
JJ,Redick,2006,13
Allan,Ray,2006,1
Ray,Spalding,2018,1
Lancaster,Gordon,0,4
Elmo,Morgenthaler,0,2
Craig,Shelton,0,2
Alex,Bradley,0,1
Michael,Hawkins,0,4
Ben,Simmons,2016,3
Bob,Weiss,0,12
Norm,Cook,0,2
Michael,Wallace,0,1
Mamadou,N'diaye,2000,5
